Administrative District,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
12,2016-17,24354,1434,1760,1945,1952,1936,1855,1821,1686,1618,1703,1752,1862,1544,1486,11947,0.490555972,12407,0.509444058,612,0.025129342,6074,0.249404609,17002,0.698119402,351,0.014412417,315,0.01293422,5474,0.224767998,4754,0.195204079,21556,0.885111272,0.853289127
12,2017-18,23401,1418,1617,1751,1889,1873,1891,1841,1609,1705,1645,1508,1691,1508,1455,11442,0.488953471,11959,0.511046529,642,0.027434725,5760,0.246143326,16314,0.697149694,344,0.014700226,341,0.014572027,5106,0.218195811,4630,0.197854787,21390,0.914063513,0.920896709
13,2013-14,22551,842,1215,1301,1219,1146,1039,938,828,960,995,2999,3139,2787,3143,10945,0.485344321,11606,0.51465565,4196,0.186067134,11716,0.519533515,3609,0.160037249,556,0.024655227,2474,0.109706886,2926,0.129750341,996,0.044166557,15940,0.706842244,
13,2014-15,22253,1115,1201,1240,1242,1178,1084,941,723,755,913,3008,2929,2908,3016,10726,0.482002437,11527,0.517997563,4134,0.185772702,11072,0.497550905,3601,0.161820874,672,0.030198175,2774,0.124657348,2952,0.132656276,954,0.042870626,15219,0.683907807,0.579662442
13,2015-16,22010,1233,1168,1223,1178,1191,1106,1026,691,714,746,3014,2986,2690,3044,10592,0.481235802,11418,0.518764198,4166,0.189277604,10521,0.478009999,3572,0.162289873,714,0.032439802,3037,0.137982741,3023,0.137346655,941,0.042753294,14297,0.649568379,0.557340682
13,2016-17,21878,1257,1132,1132,1196,1144,1168,1052,733,650,707,3143,3049,2666,2849,10425,0.476506084,11452,0.523448229,4335,0.198144257,9963,0.455388963,3602,0.164640278,745,0.034052473,3233,0.147774026,3129,0.143020391,967,0.044199653,14093,0.644163072,0.546353459
13,2017-18,21658,1261,1131,1126,1076,1123,1082,1098,733,691,622,3051,3152,2762,2750,10196,0.470772922,11460,0.52913475,4425,0.204312488,9493,0.438313782,3582,0.16538924,663,0.030612245,3495,0.161372244,3016,0.139255702,932,0.043032598,14175,0.654492557,0.619384408
14,2013-14,21064,1600,1413,1459,1366,1219,1279,1234,1274,1322,1378,1979,2132,1795,1614,10084,0.478731483,10980,0.521268487,849,0.040305734,5109,0.242546529,12421,0.589679062,205,0.009732245,2480,0.117736422,4119,0.19554691,2295,0.108953662,15559,0.7386536,
14,2014-15,20761,1701,1317,1393,1359,1257,1170,1204,1291,1234,1300,2147,1975,1645,1768,9934,0.478493333,10827,0.521506667,846,0.040749483,4774,0.229950383,12155,0.585472763,319,0.015365348,2667,0.128462017,4071,0.196088821,2286,0.110110305,14780,0.711911738,0.695275009
14,2015-16,19995,1557,1275,1303,1360,1299,1247,1107,1262,1273,1220,1975,1862,1568,1687,9497,0.474968731,10498,0.525031269,869,0.043460865,4474,0.223755941,11693,0.58479619,354,0.017704425,2605,0.130282566,4133,0.206701681,2104,0.105226308,13774,0.688872218,0.681995094
14,2016-17,19630,1461,1258,1260,1283,1290,1303,1215,1163,1292,1283,1752,1791,1681,1598,9321,0.474834442,10309,0.525165558,910,0.046357617,4304,0.219256237,11257,0.57345897,365,0.018593989,2794,0.142333165,4075,0.207590416,2164,0.110239431,13342,0.67967397,0.671128273
14,2017-18,18831,1435,1227,1211,1229,1213,1252,1235,1194,1141,1290,1596,1654,1469,1685,8968,0.476235986,9862,0.523710907,949,0.050395623,3934,0.208910838,10762,0.571504414,367,0.019489139,2819,0.149699956,3777,0.200573519,2105,0.111783758,13749,0.730125844,0.752297223
15,2013-14,30729,2096,3228,3316,3113,2907,2744,2529,1772,1723,1684,1668,1649,1234,1066,15455,0.502945125,15274,0.497054905,4806,0.156399488,4831,0.157213062,12375,0.402714044,679,0.022096392,8038,0.26157701,5844,0.190178663,5189,0.168863282,18508,0.602297485,
15,2014-15,31916,2457,3233,3252,3262,3004,2836,2683,1772,1753,1708,1721,1735,1312,1188,16094,0.504261196,15822,0.495738804,5110,0.160107777,4866,0.152462721,12493,0.391433775,786,0.024627145,8661,0.271368593,5840,0.182980329,5528,0.17320466,18275,0.572596788,0.545883417
15,2015-16,32630,2743,3202,3220,3161,3107,2917,2738,1949,1744,1761,1674,1748,1366,1300,16457,0.504351795,16173,0.495648175,5186,0.158933491,4800,0.147103891,12438,0.381182969,972,0.029788539,9234,0.282991111,6183,0.189488202,5176,0.158627033,18091,0.554428458,0.524927318
15,2016-17,33083,2799,3154,3190,3130,3089,3030,2809,2032,1922,1731,1764,1710,1418,1305,16679,0.504156232,16404,0.495843798,5377,0.162530601,4701,0.142097145,12233,0.369766951,1073,0.032433577,9699,0.293171734,6356,0.192122847,5341,0.161442429,17581,0.531420946,0.503676236
15,2017-18,33200,2728,3117,3123,3051,3054,2994,2953,2108,1981,1914,1665,1746,1442,1324,16730,0.503915668,16467,0.495993972,5358,0.161385536,4642,0.139819279,12004,0.361566275,1201,0.0361747,9995,0.301054209,6220,0.187349394,5025,0.151355416,18871,0.568403602,0.577369392
16,2013-14,9063,889,660,690,727,705,700,605,522,549,641,538,543,480,814,4328,0.477546066,4735,0.522453904,137,0.015116408,7208,0.795321643,1535,0.169369966,79,0.00871676,104,0.011475229,2060,0.227297798,380,0.04192872,7668,0.846077442,
16,2014-15,8314,817,643,604,622,668,644,588,426,514,511,552,511,482,732,3967,0.477146983,4347,0.522853017,140,0.016839067,6496,0.781332672,1476,0.177531868,99,0.011907626,103,0.012388742,1938,0.233100787,378,0.045465481,6763,0.813447177,0.786757767
16,2015-16,7687,805,527,596,578,606,616,567,382,403,490,523,521,476,597,3633,0.472616106,4054,0.527383924,117,0.015220502,5916,0.769611061,1425,0.185377911,109,0.014179784,120,0.015610771,1885,0.245219201,318,0.041368544,6198,0.806296349,0.784983099
16,2016-17,7209,747,506,511,574,553,558,520,360,372,364,496,453,527,668,3407,0.472603679,3802,0.527396321,137,0.019004023,5395,0.748370111,1372,0.190317661,135,0.018726591,170,0.023581633,1826,0.253294498,335,0.046469692,5858,0.812595367,0.787256062
16,2017-18,6839,689,524,478,496,583,509,507,307,320,362,503,479,461,621,3219,0.470682859,3620,0.529317141,148,0.021640591,5068,0.741043985,1320,0.193010673,125,0.018277526,178,0.026027197,1700,0.248574346,329,0.048106447,5771,0.843836844,0.85468477
17,2013-14,25604,1782,1531,1750,1759,1672,1564,1571,1725,1914,1955,2203,2387,1911,1880,12957,0.506053746,12647,0.493946254,581,0.022691768,20481,0.799914062,3422,0.133650988,419,0.01636463,701,0.027378535,4017,0.156889543,2502,0.097719103,21234,0.82932353,
17,2014-15,25523,2310,1549,1559,1659,1641,1598,1399,1687,1784,1903,2254,2210,1959,2011,12773,0.500450552,12750,0.499549419,599,0.023469027,20095,0.787329078,3574,0.140030563,477,0.018689025,778,0.030482311,4156,0.162833527,2382,0.093327589,20584,0.806488276,0.696024597
17,2015-16,24497,2359,1448,1540,1494,1540,1566,1423,1466,1702,1778,2095,2229,1754,2103,12252,0.500142872,12245,0.499857128,607,0.024778545,18923,0.772461951,3656,0.149242759,512,0.020900518,799,0.032616239,4164,0.169980004,2280,0.093072623,19222,0.784667492,0.680169106
17,2016-17,23764,2163,1421,1386,1535,1495,1503,1478,1585,1520,1793,2004,2085,1854,1942,11747,0.494319141,12017,0.505680859,684,0.028783033,18087,0.761109233,3592,0.151152998,511,0.021503113,890,0.037451606,4263,0.179388985,2458,0.103433765,18589,0.782233655,0.668362498
17,2017-18,22534,1919,1351,1377,1328,1453,1415,1414,1499,1561,1508,1960,1989,1821,1939,11261,0.499733746,11272,0.500221908,666,0.029555339,16882,0.749179006,3526,0.156474665,543,0.024096921,917,0.040694062,3984,0.176799506,2452,0.108813345,18204,0.80784595,0.764008284
18,2013-14,17614,799,1148,1386,1308,1437,1385,1329,1367,1373,1467,1146,1281,1141,1047,8709,0.494436234,8904,0.505506992,198,0.011241058,15662,0.889179051,1157,0.065686382,180,0.010219144,417,0.02367435,2991,0.169808105,895,0.050811853,14010,0.79539001,
18,2014-15,17452,1277,1162,1256,1319,1275,1403,1205,1187,1325,1339,1314,1294,1051,1045,8569,0.491003901,8883,0.508996129,213,0.012204905,15318,0.877721727,1270,0.072771028,258,0.014783406,393,0.022518909,2946,0.168805867,815,0.04669952,13560,0.776988328,0.616362691
18,2015-16,16991,1437,1112,1237,1170,1321,1281,1311,1036,1171,1332,1168,1301,1073,1041,8338,0.490730375,8653,0.509269595,213,0.012536049,14842,0.873521268,1225,0.072096996,295,0.017362133,416,0.02448355,3052,0.179624513,757,0.044553,12803,0.753516555,0.604388058
18,2016-17,16508,1464,1045,1120,1183,1165,1331,1178,1112,1058,1175,1171,1265,1066,1175,8058,0.488126963,8450,0.511873007,236,0.014296099,14284,0.865277469,1176,0.07123819,311,0.01883935,501,0.030348921,3030,0.183547378,980,0.059365157,12508,0.757693231,0.590835273
18,2017-18,15707,1404,975,1047,1074,1160,1155,1236,1086,1113,1062,1120,1147,994,1134,7585,0.482905716,8122,0.517094314,271,0.017253455,13406,0.853504837,1176,0.074871078,323,0.020564079,531,0.033806585,2933,0.186732024,1106,0.070414461,12169,0.774750113,0.704847276
19,2013-14,24798,1693,1894,2070,2004,1975,1896,1816,1792,1764,1803,1749,1455,1174,1713,11794,0.475602865,13004,0.524397135,1555,0.062706672,12338,0.497540116,10206,0.411565453,335,0.013509154,364,0.014678603,4560,0.183885798,2791,0.112549402,21395,0.862771213,
19,2014-15,24163,2015,1718,1909,1992,1887,1912,1742,1638,1789,1764,1653,1452,1253,1439,11487,0.475396276,12676,0.524603724,1634,0.067624055,11720,0.485039115,10079,0.417125344,343,0.014195257,387,0.016016223,4675,0.193477631,2767,0.114513926,20354,0.842362285,0.781162441
19,2015-16,24062,1976,1871,1878,1892,1948,1904,1879,1577,1666,1776,1740,1394,1053,1508,11479,0.477059275,12583,0.522940755,1715,0.071274206,11410,0.474191666,10178,0.42299062,392,0.016291248,367,0.015252265,4883,0.202934086,2748,0.114204973,19787,0.822333992,0.772365153
19,2016-17,23428,1988,1721,1836,1792,1838,1892,1812,1690,1585,1676,1547,1451,1198,1402,11170,0.476779908,12258,0.523220062,1786,0.076233566,10728,0.457913607,10036,0.428376287,444,0.018951682,434,0.018524842,4868,0.207785562,2962,0.126429915,19669,0.839550972,0.766097069
19,2017-18,22742,1823,1670,1677,1750,1706,1835,1804,1655,1684,1574,1466,1462,1305,1331,10966,0.482191533,11776,0.517808437,1800,0.07914871,10012,0.440242738,10011,0.440198749,469,0.020622637,450,0.019787177,4607,0.202576727,3005,0.132134378,19882,0.874241471,0.861501455
20,2013-14,49506,2333,4029,4290,4160,3852,3671,3532,3589,3494,3838,3879,3628,2640,2571,23574,0.476184696,25932,0.523815274,20585,0.415808171,1800,0.036359228,12966,0.261907637,371,0.007494041,13784,0.278430909,7095,0.143315956,12176,0.245949984,37118,0.749767721,
20,2014-15,51080,2695,4181,4231,4220,4160,3869,3678,3790,3676,3581,3929,3872,2440,2758,24519,0.480011731,26561,0.519988239,21430,0.419537991,1698,0.033241972,13385,0.26203993,424,0.008300705,14143,0.2768794,7279,0.14250195,12580,0.246280342,37923,0.742423654,0.663423896
20,2015-16,52932,3778,3984,4362,4164,4157,4173,3836,3898,3834,3745,3646,3941,2718,2696,25545,0.482600331,27387,0.517399669,22481,0.424714714,1652,0.031209854,13835,0.261373073,499,0.00942719,14465,0.273275137,7785,0.147075489,12203,0.230541065,38206,0.721794009,0.64027077
20,2016-17,54379,4251,4251,4091,4330,4095,4167,4102,3996,3932,3915,3645,3775,2827,3002,26126,0.480442822,28253,0.519557178,23532,0.432740569,1640,0.0301587,14115,0.259567112,589,0.010831387,14503,0.266702205,8099,0.148936167,13035,0.239706501,38214,0.70273453,0.619303048
20,2017-18,54156,4119,4352,4214,4001,4221,4008,4091,4123,3998,3994,3648,3579,2711,3097,26078,0.481534839,28075,0.518409789,23563,0.435094923,1536,0.028362509,14151,0.261300683,605,0.01117143,14301,0.264070451,8030,0.148275346,12738,0.235209391,41557,0.76735729,0.754256725
21,2013-14,34943,1972,2163,2316,2121,2097,2086,1893,2740,2740,2752,3395,3237,2588,2843,16966,0.485533595,17977,0.514466405,8761,0.250722617,5669,0.162235647,8675,0.248261452,357,0.010216638,11481,0.32856366,5859,0.167673066,5195,0.148670688,24085,0.68926537,
21,2014-15,35814,2350,2173,2228,2291,2115,2112,2023,2826,2793,2780,3637,3353,2440,2693,17358,0.484670788,18456,0.515329182,8843,0.24691461,5729,0.159965381,8988,0.2509633,455,0.012704529,11799,0.329452157,6006,0.167699784,5429,0.151588768,24658,0.688501716,0.632611036
21,2015-16,36565,2753,2199,2270,2233,2279,2086,2119,2901,2875,2854,3547,3425,2465,2559,17780,0.486257344,18785,0.513742626,8905,0.243538901,5643,0.154327914,9145,0.25010255,574,0.015698072,12298,0.33633256,6549,0.179105699,5560,0.152057976,24611,0.673075318,0.622079313
21,2016-17,37345,3023,2193,2237,2270,2240,2294,2043,3091,2954,2903,3492,3260,2777,2568,18194,0.487187028,19151,0.512812972,9242,0.247476235,5663,0.151640117,9346,0.250261068,650,0.017405275,12444,0.333217293,6785,0.1816843,6283,0.168242067,25175,0.674119711,0.613033593
21,2017-18,37423,2980,2278,2187,2212,2287,2241,2223,3113,3053,2990,3347,3281,2520,2711,18120,0.484194219,19297,0.515645444,9515,0.254255414,5391,0.144055799,9270,0.247708634,712,0.019025734,12535,0.334954441,6634,0.177270666,6333,0.169227481,27473,0.734120727,0.723325014
22,2013-14,35912,2147,2801,3077,2943,2832,2750,2768,2163,2247,2305,2629,2854,2023,2373,17700,0.492871463,18212,0.507128537,6398,0.178157717,13288,0.370015591,5178,0.144185781,438,0.01219648,10610,0.295444429,5236,0.145800844,3534,0.098407216,23528,0.65515703,
22,2014-15,35745,2672,2750,2919,3044,2874,2818,2687,2067,2140,2261,2449,2703,2207,2154,17624,0.493047982,18121,0.506952047,6576,0.183969781,12594,0.352328986,5285,0.147852853,510,0.01426773,10780,0.301580638,5361,0.149979025,3602,0.100769341,23228,0.649825156,0.54966253
22,2015-16,35775,2772,2745,2903,2856,2966,2839,2758,2063,2087,2129,2589,2581,2186,2301,17618,0.492466807,18157,0.507533193,6694,0.187113911,12065,0.337246686,5430,0.151781976,603,0.016855346,10983,0.307002097,5758,0.160950378,3450,0.096436061,23484,0.656436086,0.535397232
22,2016-17,35679,2809,2662,2804,2871,2777,2931,2782,2088,2096,2134,2710,2727,2137,2151,17580,0.492726803,18098,0.507245183,6950,0.194792449,11367,0.31859076,5422,0.15196614,681,0.019086858,11259,0.315563768,5895,0.165223241,3966,0.111157827,24024,0.673337281,0.521544397
22,2017-18,35692,2788,2663,2688,2779,2824,2802,2869,2065,2130,2104,2815,2737,2293,2135,17598,0.493051678,18091,0.506864309,7171,0.20091337,10851,0.304017693,5518,0.154600471,737,0.020648886,11415,0.31981957,5855,0.164042369,4234,0.118626021,25215,0.706460834,0.634928286
23,2013-14,10767,890,779,856,779,795,853,686,1031,1017,1189,496,544,439,413,5117,0.475248456,5650,0.524751544,94,0.00873038,8341,0.774681926,2114,0.196340665,121,0.011238042,97,0.009009009,2312,0.214730188,466,0.043280393,9533,0.88539052,
23,2014-15,10459,831,795,818,850,758,779,774,894,994,1018,480,492,438,538,4964,0.474615157,5495,0.525384843,99,0.009465532,8000,0.764891505,2132,0.203843579,129,0.012333876,99,0.009465532,2358,0.225451767,476,0.045511045,9158,0.875609517,0.81187731
23,2015-16,9952,827,727,811,781,761,749,685,938,856,975,397,468,433,544,4646,0.466840833,5306,0.533159137,100,0.010048231,7550,0.758641481,2072,0.208199352,131,0.013163183,99,0.009947749,2345,0.235631034,444,0.044614147,8655,0.869674444,0.811989546
23,2016-17,9667,815,675,767,792,753,758,690,894,906,857,383,465,432,480,4480,0.463432282,5187,0.536567688,111,0.011482363,7228,0.747698367,2043,0.211337537,164,0.016964933,121,0.01251681,2384,0.246612191,444,0.045929451,8677,0.897589743,0.814441621
23,2017-18,9539,1047,632,683,714,766,727,694,863,878,883,352,436,394,470,4394,0.460635275,5145,0.539364696,108,0.011321941,7111,0.745465994,2032,0.213020235,159,0.016668415,129,0.013523431,2317,0.242897585,446,0.046755426,8568,0.898207366,0.882722199
24,2013-14,59750,3660,5235,5342,5033,4987,4795,4523,3968,4284,4222,3773,3487,3153,3288,28247,0.472753137,31503,0.527246833,11827,0.197941422,1860,0.031129707,37157,0.621874452,492,0.00823431,8414,0.140820086,8411,0.140769869,12875,0.215481177,43982,0.736100435,
24,2014-15,60211,3466,5182,5325,5164,4977,4928,4641,4134,4181,4333,3886,3514,2961,3519,28524,0.473734021,31687,0.526265979,11789,0.195794791,1803,0.029944694,37613,0.624686539,503,0.008353955,8503,0.141220048,8911,0.147996217,13011,0.216090083,43368,0.720267057,0.609207094
24,2015-16,60556,3688,5123,5209,5211,5128,4970,4748,4206,4228,4184,3897,3648,2974,3342,28554,0.471530497,32002,0.528469503,11971,0.197684795,1741,0.028750248,37704,0.622630298,589,0.009726534,8551,0.141208142,9619,0.158844709,12847,0.212150738,42768,0.706255376,0.587625742
24,2016-17,61268,4009,4914,5124,5047,5157,5083,4803,4344,4356,4258,3935,3683,3152,3403,28976,0.472938567,32292,0.527061462,12309,0.20090422,1642,0.026800288,38110,0.622021258,685,0.011180388,8522,0.139093816,9941,0.162254363,13737,0.224211663,42405,0.692123115,0.565173686
24,2017-18,60732,3980,4774,4852,4904,4947,5084,4768,4314,4446,4362,4090,3542,3173,3496,28782,0.4739182,31948,0.526048899,12254,0.201771721,1574,0.025917144,37797,0.622357249,812,0.013370217,8295,0.136583686,9866,0.162451431,13186,0.217117831,46707,0.769067407,0.718019366
25,2013-14,37279,2375,2918,3129,2826,2683,2639,2503,2489,2483,2637,3048,2530,2338,2681,18209,0.488451958,19070,0.511548042,17422,0.467340857,3458,0.092759997,10562,0.28332305,402,0.010783551,5435,0.145792544,5063,0.135813728,6491,0.174119473,25603,0.686794162,
25,2014-15,38140,2816,2934,2991,3108,2796,2676,2632,2584,2513,2512,3129,2683,2233,2533,18629,0.488437325,19511,0.511562645,17942,0.470424742,3311,0.086811744,10939,0.286811739,478,0.012532774,5470,0.143418983,5199,0.136313587,6893,0.180728897,26126,0.685002625,0.479994744
25,2015-16,38587,3033,2830,2990,2970,3075,2801,2706,2709,2572,2522,3151,2732,2331,2165,18952,0.491149873,19635,0.508850157,18548,0.480680019,3105,0.080467515,11068,0.286832362,540,0.01399435,5326,0.138025761,5443,0.141057864,6516,0.168865159,25841,0.669681489,0.465330809
25,2016-17,39383,3165,3021,2851,2956,2907,3042,2759,2815,2731,2606,3064,2811,2406,2249,19336,0.490973264,20047,0.509026766,19275,0.489424378,3049,0.077419192,11216,0.28479293,657,0.016682325,5186,0.131681189,5587,0.141863242,7335,0.18624787,26005,0.660310268,0.443941742
25,2017-18,39585,3098,3036,3015,2790,2906,2879,3005,2826,2796,2761,2960,2705,2490,2318,19398,0.490034103,20187,0.509965897,19490,0.492358208,2968,0.074977897,11434,0.288846791,724,0.018289756,4969,0.125527352,5455,0.137804717,7354,0.185777441,27655,0.69862324,0.620582819
26,2013-14,31982,1271,1800,1898,1756,1719,1856,1736,1922,1868,1969,4198,3508,3340,3141,15604,0.487899452,16378,0.512100577,16296,0.509536624,4024,0.125820771,5383,0.168313429,516,0.016134076,5763,0.180195108,4157,0.129979357,2406,0.075229816,18334,0.57325995,
26,2014-15,32273,1477,1850,1861,1951,1770,1756,1877,1905,1914,1925,4279,3547,3307,2854,15754,0.488147974,16519,0.511852026,16616,0.51485765,3943,0.122176431,5480,0.169801384,573,0.01775478,5661,0.175409779,4278,0.132556632,2336,0.072382487,18439,0.571344495,0.331375897
26,2015-16,32780,1661,1805,1857,1890,1965,1813,1779,2018,1904,1976,4138,3773,3212,2989,15976,0.487370342,16804,0.512629628,16957,0.517297149,3886,0.118547894,5557,0.169524103,631,0.019249542,5749,0.175381333,4475,0.136516169,2103,0.064154975,18468,0.563392341,0.317480773
26,2016-17,32963,1799,1747,1858,1857,1877,2015,1853,1912,2031,1951,4131,3618,3445,2869,16045,0.486757874,16918,0.513242126,17318,0.525376916,3727,0.113066167,5559,0.168643624,763,0.023147166,5596,0.169766098,4594,0.139368385,2432,0.073779695,18229,0.55301398,0.301240563
26,2017-18,32891,1745,1874,1745,1861,1862,1869,2026,1965,1924,2071,4034,3503,3347,3065,15967,0.485451937,16920,0.51442641,17392,0.528776884,3706,0.112675197,5651,0.171809912,760,0.023106625,5382,0.163631395,4634,0.1408896,2497,0.075917423,19129,0.581587672,0.449571937
27,2013-14,45926,2518,3707,3859,3612,3529,3480,3570,3578,3679,3649,3229,2727,2624,2165,21935,0.477616161,23991,0.522383809,10734,0.233723819,12114,0.26377216,16839,0.366655052,1588,0.034577362,4651,0.101271614,7248,0.157819107,4068,0.088577278,35776,0.778992295,
27,2014-15,46094,2817,3542,3748,3844,3536,3486,3493,3644,3614,3714,3403,2562,2514,2177,22042,0.47819674,24052,0.52180326,10540,0.228663161,11573,0.251073897,17340,0.376187801,1944,0.042174686,4697,0.101900466,7606,0.165010631,4424,0.095977783,35352,0.766954482,0.5927127
27,2015-16,46045,3248,3514,3631,3732,3766,3564,3531,3598,3657,3594,3096,2706,2253,2155,21966,0.477055043,24079,0.522944927,10560,0.229340866,11220,0.243674666,17449,0.378955364,2045,0.044413075,4771,0.103616029,7860,0.170702577,4337,0.094190463,34423,0.747594774,0.573887885
27,2016-17,45691,3029,3460,3494,3672,3681,3740,3579,3590,3631,3708,2974,2581,2458,2094,21884,0.478956461,23807,0.521043539,10418,0.228009894,10634,0.232737303,17561,0.384342641,2334,0.051082268,4744,0.103827886,7993,0.174935982,4867,0.106519885,33911,0.742181182,0.549713731
27,2017-18,44879,2994,3314,3401,3403,3575,3534,3701,3542,3602,3636,3157,2632,2228,2160,21556,0.480313718,23323,0.519686282,10230,0.227946252,10085,0.224715352,17445,0.38871187,2430,0.054145593,4689,0.104480937,7621,0.169812158,4996,0.111321554,34473,0.768132091,0.685440481
28,2013-14,40444,2142,2835,2957,2807,2711,2561,2617,2404,2327,2456,3954,3904,3392,3377,20112,0.49728018,20332,0.50271982,11748,0.290475726,9982,0.246810406,10501,0.259642959,1649,0.040772427,6564,0.162298486,5645,0.139575705,3910,0.096676886,28273,0.699065387,
28,2014-15,41339,2613,2814,2958,2855,2795,2694,2514,2435,2386,2383,4108,3812,3555,3417,20451,0.494714439,20888,0.505285561,11914,0.288202435,9980,0.241418511,11054,0.267398834,1877,0.045405064,6514,0.157575175,5881,0.142262757,3839,0.092866302,28212,0.682454824,0.504854858
28,2015-16,42337,3107,2933,2884,2897,2848,2699,2633,2458,2429,2396,3967,4099,3485,3502,20826,0.49191016,21511,0.50808984,12142,0.286794066,9907,0.23400335,11399,0.269244403,2031,0.047972225,6858,0.161985964,6294,0.148664296,3826,0.090370126,28001,0.661383688,0.483094066
28,2016-17,42865,3229,2823,2937,2829,2877,2817,2653,2566,2447,2474,4045,4041,3702,3425,21126,0.492849648,21739,0.507150352,12446,0.290353447,9580,0.223492354,11678,0.272436708,2232,0.052070454,6929,0.161647037,6505,0.151755512,4251,0.099171817,28049,0.654356718,0.465873122
28,2017-18,42671,3298,2751,2827,2820,2784,2845,2748,2588,2533,2474,3996,3884,3624,3499,21111,0.494738817,21556,0.505167425,12503,0.293009311,9100,0.213259593,11666,0.273394108,2430,0.056947343,6972,0.163389653,6318,0.148063093,4449,0.104262851,29493,0.691172004,0.600711584
29,2013-14,27645,1575,2379,2707,2561,2438,2470,2422,2209,2374,2462,1200,1090,945,813,13569,0.490830183,14076,0.509169817,4189,0.151528299,18465,0.667932689,3804,0.137601733,684,0.024742268,503,0.018194972,4212,0.152360275,1893,0.068475313,21030,0.7607162,
29,2014-15,28167,2361,2262,2472,2641,2517,2424,2387,2196,2230,2382,1348,1076,954,917,13764,0.488656938,14403,0.511343062,4204,0.149252668,18669,0.662796915,3983,0.141406611,810,0.028757056,501,0.017786771,4379,0.155465618,1982,0.070366032,20967,0.744381726,0.515111506
29,2015-16,28007,2262,2382,2315,2424,2614,2519,2359,2244,2265,2233,1215,1221,957,997,13649,0.487342447,14358,0.512657523,4218,0.150605202,18209,0.650158882,4077,0.145570755,1016,0.036276646,487,0.01738851,4535,0.161923811,1949,0.069589749,20127,0.718641758,0.497080654
29,2016-17,28174,2334,2275,2391,2232,2375,2661,2517,2276,2282,2314,1108,1207,1173,1029,13678,0.48548308,14496,0.51451695,4419,0.156846732,17770,0.630723357,4300,0.152622983,1161,0.041208208,524,0.018598707,4520,0.160431609,2274,0.080712713,20302,0.720593452,0.481311738
29,2017-18,27663,2343,2206,2283,2375,2231,2374,2613,2303,2206,2268,1073,1135,1076,1177,13395,0.484220803,14268,0.515779197,4446,0.160720095,17027,0.615515292,4366,0.157828152,1316,0.047572568,508,0.01836388,4243,0.15338178,2302,0.083215848,20417,0.738061666,0.614369094
30,2013-14,41218,2639,3131,3408,3219,3085,2910,3125,3400,3232,3290,2756,2706,2080,2237,20335,0.493352413,20883,0.506647587,9200,0.22320345,2923,0.070915617,22154,0.537483633,504,0.012227667,6437,0.156169638,5682,0.137852401,7751,0.188048914,29772,0.722305775,
30,2014-15,41470,3087,3222,3225,3328,3134,3050,2902,3423,3215,3241,2926,2758,1930,2029,20467,0.493537486,21003,0.506462514,9207,0.222015917,2852,0.068772607,22264,0.536870003,653,0.015746323,6494,0.156595126,5781,0.139401972,7577,0.182710394,29237,0.705015659,0.597201943
30,2015-16,41300,3177,3179,3216,3107,3238,3030,3052,3215,3324,3186,2870,2651,2023,2032,20414,0.494285703,20886,0.505714297,9087,0.220024213,2826,0.068426147,22127,0.535762727,752,0.018208232,6508,0.157578692,5956,0.14421308,6889,0.166803882,28330,0.685956419,0.574928224
30,2016-17,41440,3203,3052,3140,3109,3021,3173,3022,3441,3095,3325,3018,2652,2077,2112,20444,0.493339777,20996,0.506660223,9076,0.219015449,2751,0.066385135,22051,0.532118738,870,0.020994209,6692,0.161486492,5970,0.144063711,7141,0.172321424,27524,0.66418916,0.54954809
