District,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
11,2015-16,41390,3209,3118,3387,3425,3329,3230,3282,2944,2937,3096,2944,2552,1906,2031,19833,0.47917372,21557,0.52082628,3083,0.074486591,17056,0.412080199,17131,0.413892239,764,0.018458566,3356,0.081082389,7571,0.182918578,3911,0.094491422,35038,0.846533
12,2011-12,24353,1435,1896,1976,1865,1889,1795,1831,1800,1754,1898,1920,1788,1479,1027,12168,0.499650955,12185,0.500349045,481,0.019751159,6734,0.276516229,16683,0.685049057,190,0.007801914,265,0.010881616,4552,0.186917424,4642,0.190613061,22576,0.927031577
12,2012-13,24466,1421,1891,2013,1927,1866,1808,1764,1782,1800,1788,1871,1927,1431,1177,12149,0.496566653,12317,0.503433347,479,0.019578191,6625,0.270783931,16844,0.688465655,257,0.010504373,261,0.010667865,4679,0.19124499,4551,0.186013237,22946,0.937872946
12,2013-14,24653,1415,1955,2069,1930,1976,1795,1764,1717,1794,1785,1777,1828,1578,1270,12164,0.493408501,12489,0.506591499,500,0.020281507,6646,0.269581795,16908,0.685839474,316,0.012817913,283,0.011479333,4941,0.200421855,4369,0.177219808,23169,0.939804494
12,2014-15,25000,1631,1956,2051,2000,1857,1986,1701,1680,1736,1796,1907,1808,1523,1368,12278,0.491120011,12722,0.508880019,542,0.021679999,6633,0.265320003,17054,0.68216002,357,0.01428,414,0.016559999,5154,0.206159994,4521,0.180840001,23345,0.933799982
12,2015-16,24848,1613,1888,1983,2011,1892,1865,1912,1625,1702,1703,1849,1860,1538,1407,12222,0.491870582,12626,0.508129418,571,0.022979716,6349,0.255513519,17302,0.69631356,307,0.012355119,319,0.012838055,5033,0.202551514,4420,0.177881524,22801,0.917619109
13,2011-12,23347,896,1234,1168,1136,1115,1047,971,1095,1138,1114,3240,3271,2998,2924,11187,0.479162216,12160,0.520837784,4029,0.172570348,13265,0.56816721,3574,0.15308176,265,0.011350495,2214,0.09483017,2632,0.112733968,1057,0.045273483,17575,0.752773404
13,2012-13,23129,797,1271,1285,1150,1121,1047,968,942,1017,1064,3293,3184,2872,3118,11231,0.485580862,11898,0.514419138,4113,0.177828699,12587,0.544208586,3661,0.158286139,440,0.019023737,2328,0.100652859,2698,0.11665009,1001,0.043279,16814,0.726966143
13,2013-14,22551,842,1215,1301,1219,1146,1039,938,828,960,995,2999,3139,2787,3143,10945,0.485344321,11606,0.51465565,4196,0.186067134,11716,0.519533515,3609,0.160037249,556,0.024655227,2474,0.109706886,2926,0.129750341,996,0.044166557,16316,0.72351557
13,2014-15,22253,1115,1201,1240,1242,1178,1084,941,723,755,913,3008,2929,2908,3016,10726,0.482002437,11527,0.517997563,4134,0.185772702,11072,0.497550905,3601,0.161820874,672,0.030198175,2774,0.124657348,2952,0.132656276,954,0.042870626,15719,0.706376672
13,2015-16,22010,1233,1168,1223,1178,1191,1106,1026,691,714,746,3014,2986,2690,3044,10592,0.481235802,11418,0.518764198,4166,0.189277604,10521,0.478009999,3572,0.162289873,714,0.032439802,3037,0.137982741,2841,0.129077688,923,0.041935485,14691,0.667469323
14,2011-12,21835,1781,1388,1310,1345,1400,1294,1284,1411,1341,1405,2508,2030,1630,1706,10697,0.489901543,11138,0.510098457,739,0.033844743,5738,0.2627891,12671,0.580306828,118,0.005404168,2569,0.117655143,3806,0.174307302,2482,0.113670714,19553,0.895488918
14,2012-13,21196,1677,1414,1400,1282,1288,1312,1236,1310,1378,1337,2391,2080,1526,1565,10167,0.479665965,11029,0.520334005,794,0.037459899,5312,0.250613332,12420,0.585959613,161,0.007595773,2509,0.11837139,3833,0.180836007,2374,0.112002261,19203,0.905972838
14,2013-14,21064,1600,1413,1459,1366,1219,1279,1234,1274,1322,1378,1979,2132,1795,1614,10084,0.478731483,10980,0.521268487,849,0.040305734,5109,0.242546529,12421,0.589679062,205,0.009732245,2480,0.117736422,4119,0.19554691,2295,0.108953662,18958,0.90001899
14,2014-15,20761,1701,1317,1393,1359,1257,1170,1204,1291,1234,1300,2147,1975,1645,1768,9934,0.478493333,10827,0.521506667,846,0.040749483,4774,0.229950383,12155,0.585472763,319,0.015365348,2667,0.128462017,4071,0.196088821,2286,0.110110305,18244,0.87876308
14,2015-16,19995,1557,1275,1303,1360,1299,1247,1107,1262,1273,1220,1975,1862,1568,1687,9497,0.474968731,10498,0.525031269,869,0.043460865,4474,0.223755941,11693,0.58479619,354,0.017704425,2605,0.130282566,3929,0.196499124,2102,0.105126284,17130,0.856714189
15,2011-12,28772,2222,2986,2995,2854,2644,2546,2382,1716,1586,1697,1498,1563,1144,939,14583,0.506846905,14189,0.493153065,3991,0.138711244,5064,0.176004454,12453,0.432816625,401,0.013937161,6863,0.238530517,5038,0.175100788,4721,0.164083138,20138,0.699916601
15,2012-13,29627,1887,3172,3182,2974,2802,2601,2475,1765,1675,1657,1683,1688,987,1079,15008,0.506564975,14619,0.493435055,4462,0.150605872,4919,0.166030988,12287,0.414723068,521,0.017585311,7438,0.251054794,5399,0.182232425,5116,0.172680318,20885,0.704931319
15,2013-14,30729,2096,3228,3316,3113,2907,2744,2529,1772,1723,1684,1668,1649,1234,1066,15455,0.502945125,15274,0.497054905,4806,0.156399488,4831,0.157213062,12375,0.402714044,679,0.022096392,8038,0.26157701,5844,0.190178663,5189,0.168863282,21419,0.697028875
15,2014-15,31916,2457,3233,3252,3262,3004,2836,2683,1772,1753,1708,1721,1735,1312,1188,16094,0.504261196,15822,0.495738804,5110,0.160107777,4866,0.152462721,12493,0.391433775,786,0.024627145,8661,0.271368593,5840,0.182980329,5528,0.17320466,21614,0.677215219
15,2015-16,32630,2743,3202,3220,3161,3107,2917,2738,1949,1744,1761,1674,1748,1366,1300,16457,0.504351795,16173,0.495648175,5186,0.158933491,4800,0.147103891,12438,0.381182969,972,0.029788539,9234,0.282991111,5849,0.179252222,5178,0.158688322,21546,0.660312593
